Title,Writer,Genre,View Count,Rating,Episode Count,Comment Count,Story,Hashtags,Age Rating
나 혼자만 레벨업,"현군,장성락(REDICE STUDIO),추공",판타지,5.5억,10.0,전체203,전체 41.6만,"10여 년 전, 
다른 차원과 이쪽 세계를 이어 주는 통로 ‘게이트’가 열리고 
평범한 이들 중 각성한 자들이 생겨났다.

게이트 안의 던전에서 마물을 사냥하는 각성자.
그들을 일컬어 ‘헌터’라 부른다.

그러나 모든 헌터가 강한 것은 아니다.

내 이름은 성진우.
E급 헌터다. 

저급 던전에서조차 죽을 고비를 넘겨야 하는
‘인류 최약병기’. 

무엇 하나 내세울 것 없는 형편에
저급 던전으로 근근이 생계를 이어가던 그는,
D급 던전 속에 숨겨진 
최악의 난이도의 이중 던전을 만난다.

그리고 결국… 죽음을 맞이하려던 순간,
그는 기이한 능력을 얻게 된다. 

오직 그에게만 보이는 게임 퀘스트 창!
오직 그만이 알게 된 레벨 업의 비밀!

퀘스트를 따라 수련하고
몬스터를 사냥하면 레벨이 오른다.
오직 그 혼자만! 


최약체 헌터에서 최강 헌터로 각성하다!

추공 작가의 인기 판무 소설 <나 혼자만 레벨업>이
웹툰으로 드디어 등장!

************************************************
[표지 및 로고 디자인] 디자인그룹 헌드레드
************************************************

웹툰 [나 혼자만 레벨업]은 매주 목요일, 주1회 연재됩니다.","#생존, #먼치킨, #시스템, #천재, #노력, #성장, #이능력, #플레이어",전체이용가
접근 불가 레이디,"용두식,시조새,ZI.O,밍숭,킨",로판,"4,608.8만",9.9,전체126,전체 3.1만,"""힐리스. 부탁이야. 네가 가브리엘 대신 죽어줘.""


언제나 고귀하던 내 오빠가 처음으로 나에게 머리 숙여 애원했다.
피 한 방울 통하지 않은 의붓 여동생을 위해 죽어달라고.


""이번 한 번만 더 죽어주는 거 별로 어렵지 않잖아. 그렇지?""


일곱 번째 배신당한 날,
나는 비로소 헛된 미련들로부터 완전히 자유로워졌다.


""네가 끝까지 인간 말종에 쓰레기라 다행이야.""


당신들의 사랑 따위, 이제 줘도 안 가져.
마침내 내가 먼저 그들을 버려 줄 차례였다.

#로맨스판타지 #피폐물 #회귀물


웹툰 밍숭,ZI.O, 용두식, 시조새 / 원작 킨, 연담 / 타이틀 디자인 공민경 / 발행처 콘텐츠랩블루, 연담","#로맨스판타지, #복수물, #회귀물, #피폐물, #여주판타지, #운명, #까칠남, #카리스마남, #무심남, #능력녀, #도도녀, #무심녀, #걸크러쉬, #사이다녀, #애잔물",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
무협지 악녀인데 내가 제일 쎄!,"가비남,유아니,윌브라이트",로판,"3,354.1만",10.0,전체131,전체 2.9만,"""하필이면 주인공도 아니고,
소설 속 제일가는 악녀라니…""

월세 탈출을 위해 읽기 시작한 무협 소설 『남궁세가 소가주』
그중 최고 악녀 당해원으로 빙의하게 된다.

흠모하던 남자를 얻기 위해
남자의 정인에게 독약을 먹이고,
무림의 고수들을 이간질하고,
마교의 앞잡이가 되어 강호를 혼란에 빠뜨리는
…세계관 최고 악녀, 당해원.

""소설처럼 이렇게 당할 순 없어...!!""

우연히 삼킨 만년삼으로 인해
세계관 최강자가 되어버린
무협 소설 속 최고 악녀 ""당해원""의 갱생기!

--------------------------------
*매주 토요일 22시에 연재됩니다.*","#로맨스판타지, #빙의물, #무협물, #순정남, #능력남, #존댓말남, #대형견남, #순진남, #조신남, #능력녀, #걸크러쉬, #악녀, #사이다녀, #우월녀, #권선징악",전체이용가
그녀와 야수,"홍슬,마지노선",로판,"4,363만",10.0,전체178,전체 3.5만,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,
마티나는 귀족가의 일개 여식인 아스티나로 환생한다.

전생과 다른 평화로운 일상은 잠시,
아버지의 파산으로 인해 아스티나는
야수의 형상을 한 테리오드 대공에게로 팔려 간다.

“급소를 쳐서 기절시켰어요.”
“기…… 절시키셨다고요?”

하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리
그녀는 화려한 검술로 괴물 테리오드를 제압해
애완동물로 길들이기 시작한다.

“테오, 앉아.”
“컹!”

달빛이 아름다운 어느 밤,
자신을 잘 따르는 테리오드가 기특해
아스티나는 그에게 짧게 입을 맞춰 주는데……

“……테오?”

아스티나의 애완동물이……
사람이 됐다?

결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스!

==============================

[표지 및 타이틀 로고 디자인] 송가희",#로맨스판타지,15세이용가
"아 하세요, 금수저 들어갑니다","신유성,포르토피노",로판,"3,514만",10.0,전체128,전체 2.8만,"""나도 반찬 싸움 말고 재산 싸움 한번 해보고 싶어! 형제의 난 한번 일으켜보자고!""

대한민국 대표 흙수저로 억울한 삶을 마감했지만 2회차는 드디어 재벌 딸이다!
그것도 남부를 장악한 대재벌 세르지오 가의 후계자로!

비록 세기말 악녀의 언니라는 단점이 있긴 했지만 무슨 상관?
어차피 그 애는 시한부에 나는 후계자인데!
하지만 그새를 못참고 여동생은 뒤통수를 쳐주시고
인생 목표였던 상단의 후계자 자리가 위태해진다.

아버지가 돌아오시기 전까지는 2주,
그사이 어떻게든 제국 최고의 신랑감을 데려와야 한다.","#로맨스판타지, #빙의물, #츤데레남, #능력남, #냉정남, #능력녀, #도도녀, #걸크러쉬, #재벌녀, #사이다녀, #계약관계, #정략결혼, #로맨틱코미디",전체이용가
이 용사 실화냐,"빠용,파르나르",판타지,680.6만,9.6,전체101,"전체 6,365","지금까지 이런 용사는 없었다.
이것은 용사인가 악마인가.

같은 반 아이들과 이세계로 소환된 강한수.
반 친구들은 마법이니 이세계니 신기해 하지만,
한수는 얼른 집에 돌아가고 싶을 뿐이다.
안락하고 따뜻한 우리 집을 냅두고 왜 이세계에서 모험같은 걸...?

소환한 여신도 정 의지가 없다면 어쩔 수 없다며 본래 세계로 돌려보내주겠다고 약속하고
한수를 집으로 보내주지만...

눈을 떠보니 이세계 그대로!
친구들은 없어졌고 주위에는 몬스터 뿐이다!!

여신이 날 속였어...?
집에는 어떻게 돌아가지...??
그보다 여기서는 어떻게 살아남지...???","#차원이동, #라이트노벨, #복수, #생존, #성좌, #먼치킨, #용사, #이능력",전체이용가
북검전기,"해민,우각",무협,"8,237.2만",9.9,전체203,전체 5.4만,"무협소설의 최강자 우각의 동명 소설 <북검전기>가 만화로 새롭게 태어나다!

세상을 혼란에 빠뜨린 집단 밀야에 맞서기 위해 중원의 고수들이 모여 만들어낸 북천문!
북천문의 강력한 투쟁으로 밀야는 서서히 그 모습을 감추었고, 북천문은 중원을 평화를 대표하는 집단으로서 강력한 위용을 과시하게 되었다.
그러나 평화가 길어지자 중원의 고수들 사이에서는 북천문에 대한 은밀한 시기가 생겨났고, 결국 북천문의 4대 문주인 진관호는 배신자들에게 둘러싸인 채 스스로 목숨을 끊음으로서 파국의 끝을 맞이하게 된다. 
모두가 떠난 북천문에 홀로 남은 진관호의 아들 진무원(13세)은 무공이라고는 손톱만큼도 알지 못 하는 어린 소년. 그러나 남몰래 아버지가 전수한 고어(古語)를 통해 북천문의 벽에 새겨진 무공을 익히기 시작한다. 
그러던 어느날, 진무원의 앞에 정체를 알 수 없는 한 소녀가 나타나게 되는데…!!","#정통, #무림, #전쟁, #성장, #생존, #천마, #무당, #책사, #마교, #정파",전체이용가
그녀가 공작저로 가야 했던 사정,"고래,밀차",로판,2억,10.0,전체158,전체 23.3만,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하.
하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?!

그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐!
레리아나(=박은하)는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데…….

“단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠.”
“좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어.”

그러나 노아 이 자식…….
천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?!

그녀는 죽음의 운명에서 벗어날 수 있을까?
냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지!


[로고 디자인] 디자인그룹 헌드레드","#로맨스판타지, #환생물, #빙의물, #능글남, #다정남, #외유내강",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
도굴왕,"윤쓰(REDICE STUDIO),쓰리비투에스,산지직송",판타지,2.7억,9.9,전체412,전체 11.4만,"현대에 출몰한 신의 무덤.
유물로 영웅의 능력을 쓰게 된 사람들, 부를 얻게 된 사람들.

그리고 그 유물을 털어가는 의문의 도굴꾼이 나타났다.

도굴왕.

""아이씨, 미치겠네. 여기도 또 그자식이 다 털어 갔냐!""

네 것도 내 것. 내 건 당연히 내 것.
다시 살아난 도굴꾼, 그가 세상 모든 무덤을 접수하기 시작한다!","#복수, #귀환, #먼치킨, #천재, #고인물, #이능력",전체이용가
악녀는 두 번 산다,"피치베리(스토리웹툰),한민트",로판,"7,724.9만",10.0,전체230,전체 4.7만,"모략의 천재, 황제를 만들다!



""오빠가 잘되어야 너도 잘되는 거야.""
 
 온갖 악행을 저질러 오빠를 황제로 만들었다.
하지만 아르티제아의 헌신은 배신으로 돌아왔다.
죽음의 문턱에서 그녀에게 구원의 손을 내민 것은, 정의로운 숙적 세드릭 대공뿐이었다.

“계책을 내라.”
“…….”
“이 상황을 뒤집을 수 있는 인물을 나는 그대 외에는 떠올리지 못하겠어. 로산 후작.”
“…….”
“나에게는 그대의 힘이 필요하다.”

이미 기울어진 세력 판도를 뒤집고 도탄에 빠진 제국을 구할 계책은 없다.
그러나 방법은 있다.
모든 것이 잘못되기 이전으로 시간을 돌리는 것.

피의 눈물과 함께 그녀는 자신의 몸을 바쳐 고대마법으로 시간을 돌린다.
이번에는, 실패하지 않으리라.

죽지 않고 18세로 회귀한 아르티제아는 세드릭 대공을 위한 악녀가 될 것을 결심한다.

“저에게 청혼해 주십시오. 당신을 황제로 만들어 드리겠습니다.”


악마에게 무릎을 꿇은 대가로,
당신은 당신 대신 손을 더럽힐 악마를 얻을 것입니다.


******************************************************************************

한민트 작가님의 인기 로맨스판타지 소설<악녀는 두 번 산다>를 웹툰으로 만나보세요!

*******************************************************************************","#로맨스판타지, #회귀물, #악녀, #계약관계, #다정남, #능력남, #왕족/귀족, #외유내강, #계략녀, #권선징악",전체이용가
청혼하라고 구해준 건 아니었는데,"이은,하삼,유나진",로판,494.4만,9.8,전체115,"전체 3,802","갑작스러운 사고로 죽음을 앞둔 나는, 
머릿속에 울리는 누군가의 목소리를 들었다. 

[나는 엘시아 아르티제, 그를 살려 줘. 부탁이야, 넌 할 수 있어!] 

그 기억을 마지막으로 정신을 잃은 내가 눈을 뜬 곳은……. 
사고 직전까지 읽고 있던 소설 속이었다! 
그것도 초반에 죽게 되는 엑스트라, 엘시아에게 빙의된 채로. 

내가 살아남기 위해 할 수 있는 것은 단 하나였다. 
그녀의 부탁을 들어주고, 원작을 비트는 것! 

원작에서 암살당해 죽는 그녀의 짝사랑 상대, 이제온을 살리는 데 성공한 나는
이제 원작과는 무관한 평화로운 삶을 살아가고자 했다. 
한 통의 편지를 받기 전까지……. 

「그대에게 입은 은혜가 많아, 결혼으로 보답하고자 하니 즉시 수도로 올라오기를 바란다.」 

“저기…… 황자님, 청혼하라고 구해준 건 아니었는데요?” 

엘시아는 무사히 청혼을 거절하고 
다시 평화로운 삶으로 돌아갈 수 있을 것인가?","#로맨스판타지, #오해물, #환생물, #빙의물, #착각물, #순정남, #능력남, #직진남, #사이다녀, #능력녀, #털털녀, #쌍방삽질, #짝사랑, #삼각관계, #로맨틱코미디",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
악당의 아빠를 꼬셔라,"비아,달슬",로판,1억,10.0,전체160,전체 9.6만,"버스사고 후 눈을 뜨니, 즐겨읽던 웹소설 세계에서 눈을 떴다.
그것도 원작 주인공들이 태어나기 전, 부모님 세대에! 

앞으로 연달아 닥칠 불행을 막기 위해,
여주인공을 임신한 언니의 납치부터 막으려고 했는데
대신 납치당해버렸다?!

납치 당한 것도 서러운데, 몸은 마력에 버티질 못해 개복치 신세가 됐다.
그런데... 날 납치한 황제의 곁에만 있으면 몸이 멀쩡해지네!

그래! 악녀와 결혼해, 아들에게서 죽임을 당할 저 남자도 살리고
마력에 취약한 나도 살 방법은...우리 둘이 결혼하는 것 뿐!


""아버님 결혼해주세요""
""공주. 난 결혼도 안했고, 아이도 없는데 아버님이라니...""


스윗한 철벽남 황제를 향한 '청혼 프로젝트'
<악당의 아빠를 꼬셔라>

연담 X 다온웹툰","#로맨스판타지, #빙의물, #다정남, #차도남, #엉뚱발랄녀, #직진녀, #로맨틱코미디",전체이용가
공작부인의 50가지 티 레시피,"앤트스튜디오,이지하",로판,1.3억,9.9,전체143,전체 9.8만,"눈을 뜨니 공작부인이 되어 있었다.
그런데 이거, 뭔가 이상하다.

기껏 빙의까지 되었는데 하녀들에게는 괴롭힘 당하고,
남편에게는 냉대 받는 허수아비 같은 공작부인이라니.

거지같은 내 인생!

에라, 모르겠다. 그냥 조용히 홍차 덕질이나 하며 살아야지라고 생각했는데.

""다음번에도, 다시 한 번 차를 대접받을 수 있겠습니까.""

냉랭했던 남편의 상태가 이상하다?","#로맨스판타지, #빙의물, #능력녀, #왕족/귀족, #절륜남, #드라마",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
이혼한 악녀는 케이크를 굽는다,"단풍새,밤파랑,민들레와인",로판,993만,9.9,전체84,"전체 8,543","애인을 둔 채, 황제의 강압으로 나와 결혼한 남편.
사랑 없는 결혼이었지만,
가족을 위해 묵묵히 공작부인 자리를 지켜왔는데…

9년의 기다림 끝에 돌아온 건 이혼서류뿐.

""그대와 이혼하겠다. 아무리 울고불고 해도 내 마음은…"" 
""여기 사인하면 되나요?""
""......뭐?""
""다 했어요, 다른 건 필요 없고 제 지참금만 돌려주세요.""
 ""…그 푼돈을 가지고 뭘 하려고?""

9년간 내게 신경도 안 쓰던 남편이 처음으로 질문을 던졌다.
나는 자신 있게 웃으며 대답했다.

""디저트 카페를 열 거예요.""

공작부인이 아닌 이젠 ‘에린’으로 행복하게 살겠어!
<이혼한 악녀는 케이크를 굽는다>","#로맨스판타지, #성장물, #짝사랑, #첫사랑, #연하남, #왕족/귀족, #능력남, #짝사랑남, #대형견남, #직진남, #자상녀, #외유내강, #다정녀, #능력녀, #힐링물",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
남주의 연적이 되어 버렸다,"사적,마떼,설이수",로판,"3,441.6만",10.0,전체106,전체 3만,"“아이린이랑 살 거예요, 평생―!!!”

원작 여주 클로디아의 화끈한 고백 탓에 원작 남주 세 명의 싸늘한 시선이 내게 꽂혔다.
저건 필히 연적을 보는 눈빛?!!! 

“마, 망했다.” 

왜냐면―나도 여자거든. 
왜냐면―남주들 인성이 쓰레기거든. 
쓰레기 남주들에게서 클로디아도 지키고 나도 살아남아야 한다!!!
……로맨스도 겸사겸사. 

졸지에 소설 속으로 들어가버린 아이린! 
자신의 사망플래그를 비틀어버리기로 한 아이린의 처절한 고군분투기!!! 

ⓒ설이수, 마떼 / 서울미디어코믹스","#로맨스판타지, #차원이동물, #짝사랑, #다정남, #순정남, #능력남, #짝사랑남, #대형견남, #능력녀, #직진녀, #달달물, #로맨틱코미디, #드라마",전체이용가
