Title,Writer,Genre,View Count,Rating,Episode Count,Comment Count,Story,Hashtags,Age Rating
"인형인데, 폭군이 집착합니다","마풍각,대남,르미,진유림",로판,81.6만,9.9,전체64,전체 860,"하필이면 소설 속 폭군의 애착인형에 빙의되어버렸다.
인형이 된 것도 문제지만, 이 폭군은 남주에게 처형당할 운명이라고!

'아무것도 못하고 폭군과 함께 죽기는 싫어!'

살아남기 위해서는 반드시 폭군을 갱생시켜야 한다.
일단 몸을 움직여야 하는데…… 어라? 움직여지네?","#로맨스판타지, #빙의물, #트라우마, #상처남, #왕족/귀족, #오빠, #사이다녀, #신분차이, #갑을관계, #다정녀, #인외존재, #운명, #나쁜남자, #까칠남, #능력녀",전체이용가
너는 나의 나는 너의 수호천사,세라비,로맨스,92.3만,9.9,전체58,"전체 1,605","불운한 운명을 타고난 소녀에게 수호천사가 되어준 기이하고도 신비한 소년.

가정불화, 교내 괴롭힘과 진학 실패, 그리고 실연까지... 연이은 불행에 결국 극단적인 선택을 하게된 세나.
그때 그녀 앞에 나타난 수호천사 덕분에 새로운 삶의 희망을 얻는다.

새 삶 이후에도 잊을 수 없는 아픔에 매일 같은 악몽에 시달리지만, 저주라 생각했던 자신의 능력을 기회 삼아 당차게 사는 그녀는 고대하던 대학교에 진학하고 그곳에서 전 남친을 만난다.

절망에 빠지는 순간, 다시 수호천사 나타난다.","#미스터리, #현대로맨스, #캠퍼스물, #학원물, #짝사랑, #첫사랑, #까칠남, #나쁜남자, #소유욕/독점욕, #직진남, #능력녀, #외유내강, #걸크러쉬, #삼각관계",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
보스 B 베이비 [개정판],닥토,BL,118.2만,10.0,전체92,"전체 1,399","사람 좋은게 탈인 '구호진'과 권위적이고 오만한 대기업의 후계자 백유성은 최고이자 최악의 하룻밤을 보낸다.
얼마 후, 유성은 호진에게 빚을 면제시켜줄 테니 그 대가로 계약을 하자며 한가지 제안을 하는데...","#현대물, #동거물, #연하, #다정, #귀염, #연상의, #까칠한, #강한, #고퀄리티, #작화가 쩌는",15세이용가
마이 디어 아스터,"어스레,멋진세계,몽소,한민트",로판,690.5만,10.0,전체74,"전체 6,873","몇 년 전에 딸이 말했다.

“엄마가 혹시 다시 살게 되면, 나 낳지 말아요.”
“갑자기 무슨 소리니, 그게?”
“아빠 말고 더 좋은 사람 만나요.
있었다면서요, 첫사랑. 다시 기회가 온다면 고백해 봐요.”

모녀는 같이 킥킥 웃었다.
그리고 리헨 코플런드는 잠에서 깨어났다. 열아홉 살의 모습으로.

다시 살게 되었다고 인생이 크게 달라지지는 않았다.
하지만 딸을 조금 더 행복하게 해 줄 수 있을 것이다.
그러려면 남편과 다시 결혼해야 했다.
그러나 그 다짐은 곧 흔들리기 시작했다.

오랜 기억 속의 첫사랑,
슈데르멜 라프트 경을 만나고부터.


<마이 디어 아스터>","#로맨스판타지, #회귀물, #가족물, #첫사랑, #운명, #다정남, #순정남, #왕족/귀족, #능력남, #자상녀, #평범녀, #다정녀, #달달물, #잔잔물, #힐링물",전체이용가
회귀한 영애에게 용서란 없습니다,"남이,MOGU,다온웹툰스튜디오",로판,183.5만,9.6,전체49,"전체 1,139","오빠의 연인이자 절친에게 모든 걸 빼앗긴 '카시아'.
과거로 돌아가 잘못된 운명을 만회하고자 한다. 

그렇게 세운 첫 번째 목표는 바로
오빠와 악녀의 연애를 막는 것!

하지만 회귀자조차도 바꿀 수 없던 것이 사람의 감정이었으니…

좌절의 순간,
그녀 앞에 북방의 영웅이 나타난다.

현 황제의 이복동생이자
반역죄로 몰려 처형당할 대공 '카인'.

과거에 자신과 같은 말로를 맞이한 요주의 인물을 보며,
그녀는 본능적으로 직감한다.

이 사람이 바로 운명을 바꿀 열쇠라는 것을.","#로맨스판타지, #회귀물, #복수물, #가족물, #능력남, #외유내강, #후회녀, #권선징악",전체이용가
이미테이션,박경란,로맨스,5.2억,9.9,전체259,전체 59.4만,"""나는 '진짜'를 꿈꿉니다.""

약육강식과도 같은 연예계. 
그곳에서 탑 솔로 가수 라리마와 닮은 이미지로
반짝 인기를 끌었던 마하는 천우신조로 
인기 방송 프로그램에 출연하는 기회를 얻게 된다.

어떻게든 대중들에게 눈도장을 찍기 위해 
최선을 다하지만 결과는 탑 아이돌 그룹 샥스의 멤버를 
다치게 만드는 걸로 끝이 나고 마는데…

그저 열심히 했던 것뿐인데, 왜 이렇게 돼버린 걸까?

'진짜'를 꿈꾸는 별들의 이야기.

<이미테이션>

많은 관심 부탁드립니다.","#현대로맨스, #성장물, #연예계물, #능력남, #능력녀, #직진녀, #경쟁구도, #달달물",전체이용가
제목 없음,작가 없음,장르 없음,조회수 없음,별점 없음,회차수 없음,댓글수 없음,줄거리 없음,해시태그 없음,연령 등급 없음
악당의 누나는 오늘도 고통받고,"현,엘리아냥",로판,"1,187만",10.0,전체101,"전체 8,428","운이라곤 없었던 전생.
죽었다 눈을 뜨니
무려, 금수저도 아니고! 다이아몬드 수저!
드디어 내 인생에 꽃길이 폈구나!

그런데…
내가 입양아라고? 
게다가 이 세계는 소설 속 세상이고, 
나는 사이코패스 남동생에게 살해당할 운명?
그래! 동생을 여주에게 떠넘기고 도망치는거야!

그렇게 여주인공이 등장하는 날.
악당 동생이 여주를 죽여버렸다!?

맙소사 저 사이코패스가 또!","#로맨스판타지, #오해물, #착각물, #먼치킨, #환생물, #가족물, #소유욕/독점욕, #왕족/귀족, #연하남, #능력남, #사이다녀, #로맨틱코미디, #드라마",전체이용가
